Variable Name,Nom de la variable,"Variable Code (2011-2012, 2012-2013) / Code de la variable (2011-2012, 2012-2013)",Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (2013-2018) / Code de la variable (2013-2018),Detection Limit (DL) /  Limite de détection de la méthode (DL),Variable Code / Code de la variable,Detection Limit (DL) /  Limite de détection de la méthode (LD),Variable Code (Metal45) / Code de la variable (Métaux45),Variable Code (Metals34) / Code de la variable (Métaux34),Detection Limit (DL) /  Limite de détection de la méthode (LD),Unit / Unité,Laboratory / Laboratoire ,,Notes/ Remarques
C1-Chrysenes,Chrysène-C1,,,,,1379,9.92,,,,ng/L,NLET Burlington,,
C3-Chrysene (npropyl),Chrysène-C3 (npropyl),,,,,1380,2.4,,,,ng/L,NLET Burlington,,
C4-Chysene (nbutyl),Chrysène-C4 (nbutyl),,,,,1381,1.6,,,,ng/L,NLET Burlington,,
C2-Phenanthrenes,Phénanthrène-C2,,,,,1382,2.46,,,,ng/L,NLET Burlington,,
C2-Chrysene (ethyl),Chrysène-C2 (éthyl),,,,,1383,2.08,,,,ng/L,NLET Burlington,,
Acridine,Acridine,,,,,1384,TBD,,,,TBD,NLET Burlington,,
Retene,Rétène,,,,,1385,TBD,,,,TBD,NLET Burlington,,
7-Methylbenzo(a)pyrene,7-méthylbenzo(a)pyrène,,,,,1386,TBD,,,,TBD,NLET Burlington,,
"7,10-Dimethylbenzo(a)pyrene","7,10-diméthylbenzo(a)pyrène",,,,,1387,TBD,,,,TBD,NLET Burlington,,
"Indeno(1,2,3-cd)fluoranthene","Indéno(1,2,3-cd)fluoranthène",,,,,1388,TBD,,,,TBD,NLET Burlington,,
Naphthalene,Naphtalène,,,,,111123,0.008,,,,UG/L    ,ALET,,
Acenaphtylene,Acénaphtylène,,,,,111131,0.002,,,,UG/L    ,ALET,,
Acenaphtene,Acénaphtène,,,,,111132,0.002,,,,UG/L    ,ALET,,
Fluorene,Fluorène,,,,,111138,0.002,,,,UG/L    ,ALET,,
Phenanthrene,Phénanthrène,,,,,111144,0.002,,,,UG/L    ,ALET,,
Anthracene,Athracène,,,,,111145,0.002,,,,UG/L    ,ALET,,
Fluoranthene,Fluoranthène,,,,,111150,0.002,,,,UG/L    ,ALET,,
Pyrene,Pyrène,,,,,111151,0.002,,,,UG/L    ,ALET,,
Benzo(a) Anthracene,Benzo(a)anthracène,,,,,111152,0.002,,,,UG/L    ,ALET,,
Chrysene,Chrysène,,,,,111153,0.002,,,,UG/L    ,ALET,,
Benzo(b) Fluranthene,Benzo(b)fluoranthène,,,,,111158,0.002,,,,UG/L    ,ALET,,
Benzo(k) Fluranthene,Benzo(k)fluoranthène,,,,,111159,0.002,,,,UG/L    ,ALET,,
Benzo (a) Pyrene,Benzo(a)pyrène,,,,,111161,0.002,,,,UG/L    ,ALET,,
"Indeno(1,2,3-c,d) Pyrene","Indéno(1,2,3-c,d)pyrène",,,,,111163,0.002,,,,UG/L    ,ALET,,
"Dibenzo(a,h) Anthracene","Dibenz(a,h)anthracène",,,,,111164,0.003,,,,UG/L    ,ALET,,
"Benzo (g,h,i) Perylene","Benzo(g,h,i)pérylène",,,,,111165,0.003,,,,UG/L    ,ALET,,
Dibenzothiophene,Dibenzothiophène,,,,,111133,0.002,,,,UG/L    ,ALET,,
Naphthalene-d8,Naphtalène-D8,,,,,111166,1,,,,%       ,ALET,,
Acenaphthene-d10,Acénaphtène-D10,,,,,111167,1,,,,%       ,ALET,,
Phenanthrene-d10,Phénanthrène-D10,,,,,111168,1,,,,%       ,ALET,,
Chrysene-d12,Chrysène-D12,,,,,111169,1,,,,%       ,ALET,,
Benzo(a)pyrene-d12,Benzo(a)pyrène-D12,,,,,111170,1,,,,%       ,ALET,,
Fluoranthene-d10,Fluoranthène-D10,,,,,111171,1,,,,%       ,ALET,,
"Benzo(g,h,i)perylene-d12","Benzo(g,h,i)pérylène-D12",,,,,111172,1,,,,%       ,ALET,,
Benzo (e) Pyrene,Benzo(e)pyrène,,,,,111160,0.002,,,,UG/L    ,ALET,,
Perylene,Pérylène,,,,,111162,0.002,,,,UG/L    ,ALET,,
C1-Naphthalenes,Naphtalène-C1 ,,,,,111124,0.002,,,,UG/L    ,ALET,,
C2-Naphthalenes,Naphtalène-C2 ,,,,,111125,0.002,,,,UG/L    ,ALET,,
C3-Naphthalenes,Naphtalène-C3 ,,,,,111126,0.002,,,,UG/L    ,ALET,,
C4-Naphthalenes,Naphtalène-C4 ,,,,,111127,0.002,,,,UG/L    ,ALET,,
C1-Dibenzothiophenes,Dibenzothiophène-C1,,,,,111134,0.002,,,,UG/L    ,ALET,,
C2-Dibenzothiophenes,Dibenzothiophène-C2,,,,,111135,0.002,,,,UG/L    ,ALET,,
C1-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C1 ,,,,,111136,0.002,,,,UG/L    ,ALET,,
C2-Fluoranthene/Pyrenes,Fluoranthène/pyrène-C2,,,,,111137,0.002,,,,UG/L    ,ALET,,
C1-Fluorene,Fluorène-C1,,,,,111139,0.002,,,,UG/L    ,ALET,,
C2-Fluorene,Fluorène-C2,,,,,111140,0.002,,,,UG/L    ,ALET,,
C3-Fluorene,Fluorène-C3,,,,,111141,0.002,,,,UG/L    ,ALET,,
C4-Fluorene,Fluorène-C4,,,,,111142,0.002,,,,UG/L    ,ALET,,
C3-Dibenzothiophene,Dibenzothiophène-C3,,,,,111143,0.002,,,,UG/L    ,ALET,,
C1-Phenanthrene,Phénanthrène-C1,,,,,111146,0.002,,,,UG/L    ,ALET,,
C2-Phenanthrene,Phénanthrène-C2,,,,,111147,0.002,,,,UG/L    ,ALET,,
C3-Phenanthrene,Phénanthrène-C3,,,,,111148,0.002,,,,UG/L    ,ALET,,
C4-Phenanthrene,Phénanthrène-C4,,,,,111149,0.002,,,,UG/L    ,ALET,,
C1-Chrysene,Chrysène-C1,,,,,111154,0.002,,,,UG/L    ,ALET,,
C2-Chrysene,Chrysène-C2,,,,,111155,0.002,,,,UG/L    ,ALET,,
C3-Chrysene,Chrysène-C3,,,,,111156,0.002,,,,UG/L    ,ALET,,
C4-Chrysene,Chrysène-C4,,,,,111157,0.002,,,,UG/L    ,ALET,,
Biphenyl,Biphényle,,,,,111128,0.002,,,,UG/L    ,ALET,,
Naphthalene,Naphtalène,,,,,111268,35,,,,ng/L,ALET,,
Acenaphthylene,Acénaphtylène,,,,,111269,5,,,,ng/L,ALET,,
Acenaphthene,Acénaphtène,,,,,111270,8,,,,ng/L,ALET,,
Fluorene,Fluorène,,,,,111271,14,,,,ng/L,ALET,,
Phenanthrene,Phénanthrène,,,,,111272,13,,,,ng/L,ALET,,
Anthracene,Athracène,,,,,111273,5,,,,ng/L,ALET,,
Fluoranthene,Fluoranthène,,,,,111274,4,,,,ng/L,ALET,,
Pyrene,Pyrène,,,,,111275,4,,,,ng/L,ALET,,
Benzo(a)anthracene,Benzo(a)anthracène,,,,,111276,4,,,,ng/L,ALET,,
Chrysene,Chrysène,,,,,111277,6,,,,ng/L,ALET,,
Benzo(b)fluoranthene,Benzo(b)fluoranthène,,,,,111278,5,,,,ng/L,ALET,,
Benzo(k)fluoranthene,Benzo(k)fluoranthène,,,,,111279,5,,,,ng/L,ALET,,
Benzo(a)pyrene,Benzo(a)pyrène,,,,,111280,5,,,,ng/L,ALET,,
"Indeno(1,2,3-cd)pyrene","Indéno(1,2,3-c,d)pyrène",,,,,111281,3,,,,ng/L,ALET,,
"Dibenzo(a,h)anthracene","Dibenz(a,h)anthracène",,,,,111282,4,,,,ng/L,ALET,,
Benzo(ghi)perylene,"Benzo(g,h,i)pérylène",,,,,111283,4,,,,ng/L,ALET,,
DiBenzothiophene,Dibenzothiophène,,,,,111284,11,,,,ng/L,ALET,,
Naphthalene-d8,Naphtalène-D8,,,,,110580,1,,,,%,ALET,,
Acenaphthene-d10,Acénaphtène-D10,,,,,110581,1,,,,%,ALET,,
Phenanthrene-d10,Phénanthrène-D10,,,,,110582,1,,,,%,ALET,,
Chrysene-d12,Chrysène-D12,,,,,110583,1,,,,%,ALET,,
Benzo(a)pyrene-d12,Benzo(a)pyrène-D12,,,,,110584,1,,,,%,ALET,,
Fluoranthene-d10,Fluoranthène-D10,,,,,110585,1,,,,%,ALET,,
